rule_name,severity,user_id,timestamp,description,recommendation,risk_score,risk_level
brute_force_attempt,Critical,user26,2026-04-17 12:06:48.882918,user26 had 13 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user14,2026-04-17 09:43:48.882918,user14 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user10,2026-04-17 09:31:48.882918,user10 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user9,2026-04-17 09:05:48.882918,user9 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user29,2026-04-17 05:53:48.882918,user29 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user21,2026-04-17 05:41:48.882918,user21 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user25,2026-04-17 05:07:48.882918,user25 had 10 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user19,2026-04-17 01:46:48.882918,user19 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user7,2026-04-17 00:53:48.882918,user7 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user24,2026-04-16 22:34:48.882918,user24 had 5 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user18,2026-04-16 19:05:48.882918,user18 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user13,2026-04-16 15:42:48.882918,user13 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user27,2026-04-16 15:24:48.882918,user27 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user16,2026-04-16 13:57:48.882918,user16 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user20,2026-04-16 13:38:48.882918,user20 had 5 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user28,2026-04-16 03:12:48.882918,user28 had 10 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
